N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
75,all,30,2.0000,15,1257.7,2250.0,55.9,36.10,53.02,4.33,93.45,99,7,0,4111,NVDEC
75,all,30,1.2500,24,1275.7,2250.0,56.7,35.12,38.94,3.35,77.41,100,6,0,2185,NVDEC
75,all,30,1.0000,30,1266.6,2250.0,56.3,37.50,37.76,3.20,78.46,99,7,0,2258,NVDEC
75,all,30,0.6667,45,1276.2,2250.0,56.7,35.88,22.81,2.80,61.49,100,4,0,1102,NVDEC
75,all,30,0.5000,60,1267.1,2250.0,56.3,37.94,19.26,2.76,59.96,99,4,0,1181,NVDEC
75,all,30,0.3333,90,1275.7,2250.0,56.7,35.98,14.16,2.60,52.74,99,4,0,496,NVDEC
75,all,30,0.2000,150,1271.6,2250.0,56.5,38.20,15.87,2.63,56.70,99,2,0,492,NVDEC
100,all,30,30.0000,1,896.2,3000.0,29.9,74.57,91.69,26.09,192.35,69,58,0,78483,batch-queue
100,all,30,15.0000,2,1086.7,3000.0,36.2,56.60,140.06,24.91,221.57,90,27,0,32530,NVDEC
100,all,30,10.0000,3,1118.4,3000.0,37.3,51.41,155.65,24.00,231.06,89,19,0,23827,NVDEC
100,all,30,7.5000,4,1153.6,3000.0,38.5,49.10,149.88,20.54,219.52,90,18,0,23105,NVDEC
100,all,30,5.0000,6,1212.5,3000.0,40.4,46.66,134.15,14.04,194.85,99,13,0,11757,NVDEC
100,all,30,3.7500,8,1218.0,3000.0,40.6,46.58,121.71,10.22,178.51,98,11,0,8695,NVDEC
100,all,30,2.5000,12,1220.9,3000.0,40.7,48.59,99.50,6.85,154.94,99,9,0,8437,NVDEC
100,all,30,2.0000,15,1266.1,3000.0,42.2,46.43,88.31,5.39,140.13,99,6,0,4747,NVDEC
100,all,30,1.2500,24,1238.7,3000.0,41.3,47.76,66.04,3.88,117.68,99,6,0,2935,NVDEC
