N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
8,key15,15,0.0667,30,15.6,16.0,97.5,0.12,0.02,2.14,2.28,5,0,0,12,none(offered-bound)
16,key15,15,2.0000,1,31.2,32.0,97.5,0.18,0.06,1.88,2.12,15,4,0,724,none(offered-bound)
16,key15,15,1.0000,2,31.2,32.0,97.5,0.43,0.03,1.89,2.35,15,4,0,367,none(offered-bound)
16,key15,15,0.6667,3,31.2,32.0,97.5,0.18,0.02,1.89,2.09,15,2,0,282,none(offered-bound)
16,key15,15,0.5000,4,31.2,32.0,97.5,0.10,0.02,1.97,2.09,16,2,0,248,none(offered-bound)
16,key15,15,0.3333,6,31.4,32.0,98.1,0.32,0.03,1.91,2.26,20,2,0,110,none(offered-bound)
16,key15,15,0.2500,8,31.0,32.0,96.9,0.10,0.03,1.91,2.04,22,2,0,88,none(offered-bound)
16,key15,15,0.1667,12,31.2,32.0,97.5,0.10,0.02,2.08,2.20,22,0,0,93,none(offered-bound)
16,key15,15,0.1333,15,31.2,32.0,97.5,0.11,0.02,1.96,2.09,19,0,0,46,none(offered-bound)
16,key15,15,0.0833,24,31.2,32.0,97.5,0.11,0.02,2.01,2.14,18,0,0,31,none(offered-bound)
16,key15,15,0.0667,30,31.2,32.0,97.5,0.11,0.02,1.98,2.11,16,0,0,20,none(offered-bound)
32,key15,15,2.0000,1,62.0,64.0,96.9,1.51,1.01,1.98,4.50,33,11,0,2128,none(offered-bound)
32,key15,15,1.0000,2,62.3,64.0,97.3,2.03,1.05,1.87,4.95,35,5,0,650,none(offered-bound)
32,key15,15,0.6667,3,62.0,64.0,96.9,1.31,0.77,1.87,3.95,34,4,0,461,none(offered-bound)
32,key15,15,0.5000,4,62.0,64.0,96.9,1.36,1.44,2.01,4.81,35,2,0,560,none(offered-bound)
32,key15,15,0.3333,6,62.0,64.0,96.9,1.37,0.16,1.92,3.45,36,2,0,235,none(offered-bound)
32,key15,15,0.2500,8,62.4,64.0,97.5,1.91,1.57,1.93,5.41,35,2,0,181,none(offered-bound)
32,key15,15,0.1667,12,62.0,64.0,96.9,1.07,0.02,1.94,3.03,35,2,0,137,none(offered-bound)
32,key15,15,0.1333,15,62.0,64.0,96.9,1.51,0.05,2.05,3.61,35,0,0,138,none(offered-bound)
32,key15,15,0.0833,24,62.3,64.0,97.3,2.53,0.02,1.95,4.50,34,0,0,51,none(offered-bound)
32,key15,15,0.0667,30,62.0,64.0,96.9,2.40,0.02,1.99,4.41,35,0,0,47,none(offered-bound)
50,key15,15,2.0000,1,47.5,100.0,47.5,3.87,5.90,2.06,11.83,51,16,7829,3091,VRAM-OOM
50,key15,15,1.0000,2,44.3,100.0,44.3,4.68,5.35,1.96,11.99,42,7,0,952,VRAM-OOM
50,key15,15,0.6667,3,49.1,100.0,49.1,4.64,5.44,2.07,12.15,48,6,0,949,VRAM-OOM
50,key15,15,0.5000,4,47.8,100.0,47.8,7.05,5.93,1.97,14.95,51,4,0,487,VRAM-OOM
50,key15,15,0.3333,6,46.4,100.0,46.4,6.42,4.62,2.06,13.10,41,2,0,475,VRAM-OOM
50,key15,15,0.2500,8,56.4,100.0,56.4,7.51,5.04,1.97,14.52,45,2,0,196,VRAM-OOM
50,key15,15,0.1667,12,50.6,100.0,50.6,5.44,3.28,2.07,10.79,39,1,0,241,VRAM-OOM
50,key15,15,0.1333,15,51.2,100.0,51.2,5.71,2.07,2.04,9.82,46,1,0,127,VRAM-OOM
50,key15,15,0.0833,24,55.0,100.0,55.0,7.26,1.27,2.20,10.73,48,1,0,126,VRAM-OOM
50,key15,15,0.0667,30,56.1,100.0,56.1,7.82,2.35,2.02,12.19,45,1,0,56,VRAM-OOM
75,key15,15,2.0000,1,69.1,150.0,46.1,23.41,26.94,2.45,52.80,50,16,0,2818,VRAM-OOM
75,key15,15,1.0000,2,49.7,150.0,33.1,14.79,20.19,2.15,37.13,48,6,0,1109,VRAM-OOM
75,key15,15,0.6667,3,55.0,150.0,36.7,8.97,8.22,2.13,19.32,59,7,0,1176,VRAM-OOM
75,key15,15,0.5000,4,45.1,150.0,30.1,18.17,16.54,2.19,36.90,49,5,0,471,VRAM-OOM
75,key15,15,0.3333,6,59.2,150.0,39.5,10.55,7.66,2.13,20.34,40,4,0,573,VRAM-OOM
75,key15,15,0.2500,8,62.0,150.0,41.3,10.16,6.64,2.06,18.86,47,3,0,318,VRAM-OOM
75,key15,15,0.1667,12,65.2,150.0,43.5,9.98,2.99,2.18,15.15,34,1,0,231,VRAM-OOM
75,key15,15,0.1333,15,63.0,150.0,42.0,13.04,4.53,2.11,19.68,38,1,0,179,VRAM-OOM
75,key15,15,0.0833,24,63.4,150.0,42.3,17.25,4.79,2.14,24.18,41,1,0,94,VRAM-OOM
75,key15,15,0.0667,30,70.7,150.0,47.1,17.09,0.26,2.23,19.58,52,1,0,81,VRAM-OOM
100,key15,15,2.0000,1,43.8,200.0,21.9,63.54,120.19,3.00,186.73,25,6,0,1963,VRAM-OOM
100,key15,15,1.0000,2,49.1,200.0,24.6,45.58,66.04,2.54,114.16,37,8,0,1363,VRAM-OOM
100,key15,15,0.6667,3,47.0,200.0,23.5,52.57,47.13,2.60,102.30,35,5,0,625,VRAM-OOM
100,key15,15,0.5000,4,45.5,200.0,22.8,45.19,31.49,2.60,79.28,45,5,0,756,VRAM-OOM
100,key15,15,0.3333,6,61.1,200.0,30.6,18.19,17.90,2.10,38.19,61,4,0,417,VRAM-OOM
100,key15,15,0.2500,8,61.6,200.0,30.8,23.55,12.55,2.20,38.30,33,3,0,448,VRAM-OOM
100,key15,15,0.1667,12,58.7,200.0,29.4,14.04,2.23,2.18,18.45,39,3,7840,257,VRAM-OOM
100,key15,15,0.1333,15,60.6,200.0,30.3,13.38,2.21,2.18,17.77,40,2,0,155,VRAM-OOM
100,key15,15,0.0833,24,67.3,200.0,33.6,21.31,2.41,2.32,26.04,47,1,0,140,VRAM-OOM
100,key15,15,0.0667,30,78.1,200.0,39.0,20.27,0.03,2.18,22.48,45,2,0,75,VRAM-OOM
1,key30,30,1.0000,1,1.0,1.0,100.0,0.12,0.02,2.08,2.22,0,0,0,29,none(offered-bound)
1,key30,30,0.5000,2,1.0,1.0,100.0,0.12,0.02,2.19,2.33,0,0,0,18,none(offered-bound)
1,key30,30,0.3333,3,1.0,1.0,100.0,0.12,0.02,2.10,2.24,0,0,0,6,none(offered-bound)
1,key30,30,0.2500,4,1.0,1.0,100.0,0.13,0.02,2.30,2.45,0,0,0,6,none(offered-bound)
1,key30,30,0.1667,6,1.0,1.0,100.0,0.14,0.02,2.45,2.61,0,0,0,8,none(offered-bound)
1,key30,30,0.1250,8,1.0,1.0,100.0,0.15,0.02,2.43,2.60,0,0,0,5,none(offered-bound)
1,key30,30,0.0833,12,1.0,1.0,100.0,0.18,0.02,2.89,3.09,0,0,0,3,none(offered-bound)
1,key30,30,0.0667,15,1.0,1.0,100.0,0.20,0.02,2.95,3.17,0,0,1693,1,none(offered-bound)
4,key30,30,1.0000,1,3.8,4.0,95.0,0.10,0.02,2.04,2.16,0,0,0,151,none(offered-bound)
4,key30,30,0.5000,2,3.8,4.0,95.0,0.11,0.02,2.03,2.16,0,0,0,50,none(offered-bound)
4,key30,30,0.3333,3,3.8,4.0,95.0,0.11,0.02,2.00,2.13,5,0,0,29,none(offered-bound)
4,key30,30,0.2500,4,3.8,4.0,95.0,0.11,0.03,2.17,2.31,5,0,0,40,none(offered-bound)
4,key30,30,0.1667,6,3.8,4.0,95.0,0.11,0.02,2.16,2.29,5,0,0,23,none(offered-bound)
4,key30,30,0.1250,8,3.9,4.0,97.5,0.12,0.02,2.16,2.30,5,0,0,12,none(offered-bound)
4,key30,30,0.0833,12,3.8,4.0,95.0,0.12,0.02,2.25,2.39,0,0,0,10,none(offered-bound)
